zipFile,entryPath,entryType,reason,compressedBytes,uncompressedBytes,recommendation
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/chrome_cart_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/chrome_cart_db/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/ClientCertificates/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/ClientCertificates/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/ClientCertificates/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/commerce_subscription_db/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/commerce_subscription_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/commerce_subscription_db/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/discounts_db/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/discounts_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/discounts_db/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/discount_infos_db/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/discount_infos_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/discount_infos_db/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Download Service/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Download Service/EntryDB/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Download Service/EntryDB/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Download Service/EntryDB/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Extension Rules/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Extension Rules/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Extension Scripts/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Extension Scripts/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Extension State/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Extension State/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Favicons-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/GCM Store/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/GCM Store/000003.log,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/GCM Store/Encryption/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/GCM Store/Encryption/000003.log,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/GCM Store/Encryption/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/GCM Store/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/heavy_ad_intervention_opt_out.db-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Local Storage/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
