itemId,sourceFile,contentBankKey,routeKey,moduleKey,categoryId,taskType,answerMode,responseSurface,status,reviewOnly,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,v02ApplyGateStatus,productionFlag,quarantineFlag,sourceRowId,targetFamily,reviewGroup,targetId,variantFamilyId,supportPolicy,evidenceType,sourceCleanupBatch,feedbackCleanupBatch,missingMetadataFields,metadataRiskLevel,recommendedManifestAction
b1_connector_001,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil,connectors_reason_weil_sibling_1,reason_weil,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_002,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil,connectors_reason_weil_sibling_2,reason_weil,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_003,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil,connectors_reason_weil_sibling_3,reason_weil,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_004,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil,connectors_reason_weil_sibling_4,reason_weil,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_005,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil,connectors_reason_weil_sibling_5,reason_weil,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_006,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil,connectors_reason_weil_sibling_6,reason_weil,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_007,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil,connectors_reason_weil_sibling_7,reason_weil,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_008,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil,connectors_reason_weil_sibling_8,reason_weil,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_009,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil_wordorder,connectors_reason_weil_sibling_9,reason_weil_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_010,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil_wordorder,connectors_reason_weil_sibling_10,reason_weil_wordorder,after_answer,,,,,low,MANIFEST_SAFE
